"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL017W",398.08180631091,0.0515460134151169,0.0843474897820349,0.611114966768052,0.541123472106415,0.996606800722727
"YAL018W",352.974745957563,0.00174305331847666,0.090047873420458,0.0193569626051896,0.984556342835105,0.996606800722727
"YAL021W",261.293542879915,0.0621216692363442,0.104748466790426,0.59305564214733,0.553143915042364,0.996606800722727
"YAL022W",239.084010228227,0.0290058138449453,0.108220784993089,0.268024426608971,0.788680516673293,0.996606800722727
"YAL023W",222.118937297529,-0.118627953697144,0.11299806099396,-1.04982291424881,0.293799538024377,0.996606800722727
"YAL026W",145.970831787884,-0.0909819992074201,0.140625028777889,-0.646982973074601,0.517642963407306,0.996606800722727
"YAL027W",140.172074849677,-0.0709052764626851,0.139724756984465,-0.507463945495132,0.611829327970708,0.996606800722727
"YAL028W",125.805344927716,-0.0587380594304249,0.149824894068713,-0.392044725247638,0.695025167619894,0.996606800722727
"YAL029W",111.728833680772,-0.000658832866707886,0.154918985004277,-0.00425275744409052,0.996606800722727,0.996606800722727
"YAL031W",92.2771055253439,0.0290583099913847,0.17153144739874,0.169405146590036,0.865477975620492,0.996606800722727
"YAL032W",83.6249533969542,0.0116736159350311,0.184277764242293,0.0633479355636327,0.949489445325982,0.996606800722727
"YAL033W",72.4122279769814,-0.21573785738859,0.208424278757425,-1.03508985937131,0.300626947891929,0.996606800722727
"YAL034W",68.8251880092215,-0.12449768496575,0.211698364207154,-0.588089971464894,0.556471904078912,0.996606800722727
"YAL035W",59.5932039363911,0.173388945267225,0.218808814492886,0.792422122797352,0.428114584165984,0.996606800722727
"YAL036W",49.2145967984049,-0.0625223943996062,0.216674327235348,-0.288554694953295,0.772922169449186,0.996606800722727
"YAL037W",50.8573793599454,-0.0657400998565962,0.223776604170619,-0.293775571848756,0.768929402682307,0.996606800722727
"YAL038W",53.0175700501971,0.0705423198620556,0.220682642571911,0.319655044184405,0.74922984255009,0.996606800722727
"YAL039W",37.8861732478195,0.0189204568806579,0.233797472612047,0.0809266955252918,0.935500249630568,0.996606800722727
"YAL042W",26.2617938615055,0.0767667850770502,0.314908687488927,0.243774745273578,0.807405280705085,0.996606800722727
"YAL043W",26.1956098218728,-0.341938598237111,0.324204719442809,-1.05469963183997,0.291562720228343,0.996606800722727
"YAL044W",23.0402956436605,0.298646113043817,0.393982629430098,0.758018477809069,0.448439921016936,0.996606800722727
"YAL045W",19.4833003636751,0.0801247608482985,0.43622004486721,0.183679685954572,0.854264746016501,0.996606800722727
"YAL046W",19.8220434050571,0.0862030944029897,0.462875231107987,0.18623397539904,0.852261281477826,0.996606800722727
"YAL047W",18.3895641316017,0.136287974021012,0.443176895713498,0.307524998119753,0.758443798533435,0.996606800722727
"YAL048W",16.7619315988062,-0.0336640922013774,0.470743143753413,-0.0715126553579961,0.942989752826959,0.996606800722727
"YAL050W",13.6866330534037,0.038183896085475,0.433850190003952,0.0880117076475804,0.929867370896928,0.996606800722727
